	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
ERR1414009	0	1115	1013	1006	580	266	63	1	3	2	996	2	2	839	3	7	3	3	1083	1	2	2	2	1001	1535	1047	3	3	1001	988	1507	1087	5	1007	90	5	1010	1107	579	1111	2	3	2	3	67	2	1102	1010	38	1	4	1008	1127	4	1094	5	2	1106	6	1084	2	34	2	8	3	3	42	1002	36	3	6	842	1	996	1	840	7	864	38	3	5	31	67	36	1	1130	3	5	5	0	1109	3	579	3	1003	1259	3	4	840	579	2	2	4	3	999	851	4	587	1103	1531	1008	1	3	6	842	2	5	5	2	988	1473	5	5	6	4	841	1087	3	1008	37	1	5	1146	1008	1008	4	1103	24	3	579	986	1518	36	1	3	1007	34	2	3	1	1009	4	1000	4	836	579	7	0	835	1008
ERR024924	1115	0	1043	1044	1112	1097	1126	1115	1115	1116	1079	1115	1115	1094	1114	1116	1115	1114	1083	1115	1114	1114	1114	1101	1526	1279	1115	1114	1081	1071	1494	1121	1116	1047	1126	1115	1042	80	1109	100	1114	1114	1115	1114	1129	1114	89	1044	1119	1115	1116	1045	1103	1115	1069	1115	1114	127	1115	1091	1116	1118	1115	1116	1115	1114	1120	1098	1119	1114	1115	1094	1115	1076	1115	1096	1115	1095	1118	1115	1114	1115	1128	1120	1115	1137	1116	1114	1117	1115	92	1114	1108	1116	1042	1228	1116	1116	1097	1108	1114	1116	1114	1114	1096	1094	1115	1110	91	1519	1044	1115	1115	1117	1098	1114	1116	1116	1114	1072	1471	1117	1117	1117	1116	1096	1099	1115	1044	1121	1115	1116	1151	1046	1047	1115	89	1120	1114	1108	1075	1514	1119	1115	1114	1044	1118	1116	1116	1115	1042	1116	1097	1116	1098	1114	1115	1115	1097	1045
ERR024916	1013	1043	0	25	1008	956	1022	1013	1013	1014	981	1013	1012	862	1011	1013	1012	1011	1032	1012	1011	1011	1011	997	1534	1277	1012	1011	982	959	1510	1036	1013	25	1030	1012	106	1031	1008	1036	1012	1011	1011	1011	1025	1011	1033	107	1014	1012	1013	108	1042	1012	1041	1011	1011	1037	1013	1031	1014	1015	1012	1014	1013	1010	1015	1000	1014	1010	1013	863	1013	978	1012	865	1012	882	1013	1012	1013	1011	1023	1016	1012	1058	1013	1011	1013	1013	1035	1011	1007	1012	61	1224	1013	1013	867	1006	1011	1013	1011	1010	995	871	1012	1010	1035	1528	27	1013	1013	1013	867	1011	1011	1013	1011	961	1473	1014	1014	1015	1012	865	1025	1012	106	1016	1012	1012	1100	26	25	1010	1032	1016	1011	1009	965	1515	1014	1012	1010	23	1014	1013	1013	1012	41	1013	996	1013	866	1012	1013	1013	863	107
ERR1413996	1006	1044	25	0	1001	950	1015	1006	1006	1007	973	1006	1005	855	1004	1006	1005	1004	1031	1005	1004	1004	1004	993	1534	1277	1005	1004	976	953	1510	1032	1006	6	1023	1005	98	1030	1001	1035	1005	1004	1006	1004	1018	1004	1029	98	1007	1005	1006	99	1041	1005	1039	1006	1004	1033	1006	1029	1007	1008	1005	1007	1006	1005	1008	993	1007	1005	1006	856	1006	970	1005	858	1005	880	1007	1005	1006	1008	1016	1009	1005	1058	1006	1006	1006	1006	1033	1004	1001	1007	50	1226	1006	1006	861	999	1004	1006	1004	1005	991	869	1005	1005	1030	1529	10	1006	1006	1006	860	1004	1006	1006	1004	953	1473	1007	1009	1008	1007	858	1023	1005	97	1009	1005	1005	1097	9	8	1005	1027	1009	1004	1002	956	1515	1007	1005	1005	6	1007	1006	1006	1005	35	1006	992	1006	859	1005	1006	1006	856	99
ERR1413978	580	1112	1008	1001	0	619	601	580	580	579	1000	578	580	822	578	582	581	579	1099	579	578	578	578	1006	1536	1159	580	578	1005	993	1506	1090	579	1002	624	578	1006	1103	21	1109	579	578	580	578	598	578	1100	1006	582	579	581	1008	1123	577	1101	578	578	1101	579	1097	580	581	579	580	580	579	584	1004	581	579	581	827	581	999	579	827	579	856	586	577	580	582	602	583	579	1129	579	580	580	580	1104	578	16	581	1001	1259	579	579	831	17	578	578	578	579	1004	841	578	57	1099	1531	1003	581	581	579	831	578	581	580	578	991	1476	580	581	581	579	826	1083	579	1006	581	579	581	1154	1001	1004	580	1098	589	578	19	993	1521	581	579	579	1002	584	578	579	579	1002	580	1005	579	823	6	578	580	821	1008
SRR1922795	266	1097	956	950	619	0	298	267	267	268	997	266	266	726	265	271	267	265	1069	265	264	264	264	994	1535	1045	267	265	999	987	1506	1073	269	953	333	265	955	1088	616	1094	265	265	266	265	303	264	1087	955	277	265	268	958	1103	266	1079	267	264	1092	268	1066	267	273	266	270	269	265	281	993	275	265	270	727	267	995	265	729	268	757	277	265	268	273	303	277	265	1113	265	267	268	266	1091	265	615	267	950	1260	265	268	732	616	264	266	264	265	992	738	266	623	1085	1528	953	266	268	269	735	264	269	269	264	987	1473	270	269	270	267	727	1066	267	955	278	265	267	1131	952	954	266	1085	284	264	617	989	1518	275	265	265	951	276	266	267	265	953	266	992	268	727	622	268	266	724	957
ERR1414100	63	1126	1022	1015	601	298	0	62	64	61	1001	63	63	856	64	56	62	64	1094	64	65	65	65	1013	1535	1025	62	64	1009	998	1506	1099	60	1014	124	62	1016	1118	598	1121	63	64	65	64	48	65	1112	1014	47	64	63	1013	1138	63	1102	64	65	1116	59	1095	61	47	63	59	62	66	45	1013	51	66	57	859	62	1006	64	853	60	880	34	64	62	75	46	51	64	1138	62	66	62	63	1120	64	600	66	1010	1250	62	61	850	598	65	63	64	66	1011	869	63	607	1114	1531	1016	62	60	59	848	65	62	62	65	996	1474	58	66	57	63	852	1095	62	1014	48	64	60	1155	1015	1016	65	1113	51	64	598	991	1518	51	64	66	1015	32	63	62	64	1018	61	1012	61	847	601	62	63	852	1013
ERR1414012	1	1115	1013	1006	580	267	62	0	4	3	996	3	3	839	4	8	4	4	1084	2	3	3	3	1001	1535	1046	4	4	1001	988	1506	1088	4	1007	89	4	1010	1107	579	1111	3	4	3	4	66	3	1102	1010	37	2	5	1008	1126	3	1094	6	3	1106	7	1085	3	35	3	9	4	4	41	1002	37	4	5	842	2	996	2	840	8	864	39	4	6	32	66	37	2	1131	4	6	6	1	1109	4	579	4	1003	1258	4	3	840	579	3	3	5	4	999	851	5	587	1103	1531	1008	2	2	5	842	3	4	6	3	988	1473	4	6	7	5	841	1087	2	1008	38	2	6	1147	1008	1008	5	1103	23	4	579	986	1518	37	2	4	1007	35	3	4	2	1009	5	1000	5	836	579	8	1	835	1008
ERR1414018	3	1115	1013	1006	580	267	64	4	0	5	996	5	3	839	2	10	4	4	1083	2	3	3	3	1001	1535	1046	2	2	1003	988	1508	1085	6	1007	89	6	1010	1107	578	1111	5	4	3	4	68	3	1103	1010	39	2	3	1010	1126	5	1094	6	3	1106	9	1084	5	35	3	7	6	4	41	1002	37	4	7	842	4	996	2	842	8	864	39	4	6	32	66	35	2	1130	4	4	6	3	1109	2	579	4	1005	1258	4	5	842	579	3	3	5	4	999	851	5	587	1103	1531	1008	4	6	7	844	3	4	4	3	988	1473	8	4	9	5	843	1087	2	1008	38	2	6	1146	1008	1008	5	1103	25	4	581	988	1518	37	2	4	1007	33	3	4	2	1009	5	1000	5	838	579	6	3	835	1010
ERR1414058	2	1116	1014	1007	579	268	61	3	5	0	995	2	4	840	5	7	5	5	1083	3	4	4	4	1002	1535	1045	5	5	1000	989	1507	1088	3	1006	88	5	1009	1108	578	1111	4	5	4	3	67	4	1103	1009	38	3	6	1007	1128	4	1094	3	4	1107	6	1084	2	36	2	8	3	5	42	1003	38	5	6	843	3	997	3	839	5	865	40	3	5	33	67	38	3	1130	3	5	5	2	1110	5	579	5	1004	1259	3	4	841	578	4	2	6	5	1000	852	4	587	1104	1531	1009	3	5	4	841	4	7	5	4	987	1473	5	5	6	4	840	1087	5	1007	35	3	7	1146	1007	1008	6	1104	22	5	578	985	1518	38	3	5	1008	36	2	3	3	1010	4	1001	2	835	579	7	2	836	1007
