	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
ERR1414009	0.0	1.0279399999999999	0.9382510000000001	0.886229	0.651072	0.548325	0.44136899999999996	0.192306	0.21514699999999998	0.208116	0.9356690000000001	0.182812	0.181793	0.7706350000000001	0.181077	0.217265	0.18442	0.17287	0.962126	0.186441	0.201451	0.185594	0.186257	0.9497559999999999	1.32886	0.552692	0.200755	0.187778	0.9746870000000001	0.8906709999999999	1.19074	0.9272729999999999	0.185962	0.896387	0.303163	0.18298699999999998	0.9193879999999999	0.963406	0.6443369999999999	0.9685819999999999	0.184061	0.174238	0.277453	0.22733699999999998	0.467971	0.19684400000000002	0.9250450000000001	0.916874	0.21910500000000002	0.176386	0.28284899999999996	0.919528	0.981707	0.172698	0.9709030000000001	0.246115	0.184309	0.943362	0.194668	0.9771719999999999	0.20269	0.20644400000000002	0.18658	0.22212199999999999	0.186158	0.211959	0.230738	0.900277	0.21351199999999998	0.186749	0.194023	0.762047	0.17749600000000001	0.9369719999999999	0.18118	0.8005979999999999	0.191646	0.876484	0.196473	0.192851	0.209079	0.441651	0.449701	0.201026	0.181649	0.957794	0.169378	0.19351	0.198451	0.18146800000000002	0.970756	0.19528099999999998	0.675114	0.20762199999999997	0.883569	1.00758	0.180239	0.210025	0.792024	0.64346	0.186943	0.185823	0.180291	0.18018499999999998	0.9636379999999999	0.855664	0.185971	0.79472	0.9279219999999999	1.32684	0.8831829999999999	0.19226300000000002	0.182099	0.20307	0.812192	0.194056	0.202815	0.21538000000000002	0.206833	0.8964409999999999	1.14038	0.18699000000000002	0.194991	0.18143199999999998	0.187974	0.7705960000000001	0.9629979999999999	0.192261	0.9104709999999999	0.203349	0.212125	0.206015	1.0262200000000001	0.8935690000000001	0.9034459999999999	0.197647	0.930686	0.45446899999999996	0.19276600000000002	0.6422479999999999	0.883826	1.32946	0.20056300000000002	0.17970899999999998	0.18071199999999998	0.9013329999999999	0.204125	0.208414	0.193493	0.203225	0.903494	0.176302	0.946916	0.173982	0.8149390000000001	0.660675	0.218825	0.173087	0.809337	0.905107
ERR024924	1.0279399999999999	0.0	0.8970360000000001	0.9757319999999999	1.00196	1.02306	0.978275	1.0288700000000002	1.01778	1.04874	0.9655549999999999	1.0241200000000001	1.0328899999999999	0.970951	1.01738	1.0688799999999998	1.03234	1.0320799999999999	0.953624	1.0239	1.02895	1.02419	1.0301	1.0158	1.3335	1.0542200000000002	1.0045899999999999	1.0266899999999999	0.99346	0.9837739999999999	1.22565	0.9381799999999999	1.038	0.983498	1.04024	1.0367899999999999	1.0100799999999999	0.617316	1.00464	0.442748	1.0367600000000001	1.03067	1.02591	1.01985	0.9742149999999999	1.01365	0.575114	1.0206600000000001	1.0403	1.02624	1.04769	1.01861	0.913596	1.03219	0.916407	1.01006	1.01525	0.589292	1.0348700000000002	0.891797	1.03918	1.03215	1.02635	1.06915	1.03357	1.0251700000000001	1.0392	0.925283	1.02399	1.0326	1.02696	0.985748	1.03521	1.03681	1.03538	0.966317	1.03936	0.86911	1.0287899999999999	1.03576	1.0622200000000002	1.05567	0.978691	1.03272	1.0315299999999998	0.88036	1.03295	1.0227	1.0404	1.03331	0.568535	1.0296	1.0341	1.0165	0.9901280000000001	1.06949	1.0348899999999999	1.0487799999999998	0.9967520000000001	0.9985709999999999	1.02895	1.0297	1.03015	1.02378	0.8997040000000001	0.882027	1.0277	0.9263790000000001	0.591619	1.32955	0.9725790000000001	1.02506	1.03162	1.03777	0.913168	1.02365	1.03496	1.0638299999999998	1.0307600000000001	1.01169	1.18153	1.04814	1.03045	1.03098	1.03639	0.984453	0.892856	1.03111	0.984193	1.03051	1.03011	1.0509	1.06549	0.975643	0.9891700000000001	1.02441	0.67723	0.963433	1.0383200000000001	1.00244	1.0212299999999999	1.32465	1.02055	1.02983	1.0337100000000001	1.01844	1.02657	1.06368	1.03426	1.02405	0.9812629999999999	1.03377	0.9034840000000001	1.02356	0.999235	1.00328	1.06893	1.03156	0.986699	0.9865219999999999
ERR024916	0.9382510000000001	0.8970360000000001	0.0	0.487969	0.885882	0.9072520000000001	0.9161959999999999	0.940494	0.92874	0.9531290000000001	0.8515860000000001	0.9349559999999999	0.943157	0.8316790000000001	0.9304479999999999	0.9706110000000001	0.939544	0.9399850000000001	0.8442200000000001	0.9359	0.939543	0.9342940000000001	0.941363	0.9209790000000001	1.31849	0.940166	0.921341	0.936262	0.87851	0.8583360000000001	1.1788399999999999	0.8689549999999999	0.947428	0.512436	0.955569	0.943931	0.609362	0.919322	0.8874690000000001	0.8473379999999999	0.9436450000000001	0.9401200000000001	0.939951	0.933154	0.91443	0.927201	0.891302	0.59195	0.94614	0.9374969999999999	0.954586	0.608073	0.853341	0.941981	0.835617	0.9261149999999999	0.927259	0.906227	0.9446969999999999	0.819815	0.9460879999999999	0.939356	0.9387629999999999	0.9716469999999999	0.9423799999999999	0.9358069999999999	0.9518969999999999	0.8861379999999999	0.9336979999999999	0.94205	0.937317	0.850949	0.943541	0.912667	0.94405	0.8261350000000001	0.946311	0.808477	0.938032	0.9440000000000001	0.966201	0.9594370000000001	0.916142	0.9415819999999999	0.9416889999999999	0.8288620000000001	0.9405370000000001	0.932155	0.9453790000000001	0.9438690000000001	0.900136	0.9402010000000001	0.916424	0.930316	0.597761	0.996268	0.94358	0.952083	0.866557	0.884503	0.940126	0.939089	0.940687	0.9336040000000001	0.834341	0.804669	0.9394629999999999	0.8578020000000001	0.904975	1.30619	0.48883699999999997	0.9360930000000001	0.940262	0.9452969999999999	0.803313	0.9354680000000001	0.9452649999999999	0.968111	0.938313	0.881762	1.14365	0.953786	0.9402280000000001	0.941332	0.943565	0.8442120000000001	0.8226180000000001	0.941493	0.566929	0.9403239999999999	0.9399799999999999	0.953225	0.975923	0.513782	0.507887	0.935174	0.938607	0.9080309999999999	0.944058	0.8838370000000001	0.890517	1.30487	0.9332090000000001	0.941155	0.940968	0.5610609999999999	0.936267	0.9691420000000001	0.944498	0.935442	0.499046	0.943702	0.8431219999999999	0.9344389999999999	0.8742840000000001	0.8803850000000001	0.970143	0.942024	0.8654139999999999	0.549099
ERR1413996	0.886229	0.9757319999999999	0.487969	0.0	0.8527450000000001	0.852914	0.935501	0.892503	0.893965	0.898214	0.8591040000000001	0.8910040000000001	0.888865	0.78035	0.88679	0.898708	0.8920020000000001	0.8867219999999999	0.8702340000000001	0.8913190000000001	0.886178	0.888468	0.894948	0.918201	1.3196299999999999	0.9059790000000001	0.8896930000000001	0.8906649999999999	0.879492	0.817013	1.18032	0.913473	0.893344	0.251745	0.9185110000000001	0.8908159999999999	0.48986499999999994	0.899597	0.849201	0.909327	0.889325	0.888922	0.9043110000000001	0.89805	0.940311	0.891184	0.869431	0.434487	0.896494	0.888855	0.905603	0.451662	0.910647	0.889092	0.8808819999999999	0.896769	0.886044	0.872265	0.889818	0.8868799999999999	0.8941899999999999	0.88915	0.890583	0.898367	0.8914110000000001	0.895882	0.904694	0.875135	0.893502	0.893768	0.88946	0.8055479999999999	0.8899940000000001	0.860397	0.890653	0.795725	0.891534	0.9066799999999999	0.889179	0.891416	0.8949959999999999	0.948209	0.935759	0.891016	0.891074	0.9066110000000001	0.8864559999999999	0.890541	0.8900030000000001	0.891134	0.9120450000000001	0.892976	0.8709979999999999	0.893492	0.46429899999999996	0.9796530000000001	0.88945	0.897494	0.8294549999999999	0.8480629999999999	0.890965	0.891208	0.889114	0.887991	0.921242	0.8923040000000001	0.891425	0.9505379999999999	0.873598	1.30735	0.185379	0.8922690000000001	0.8870969999999999	0.8942379999999999	0.8249719999999999	0.893177	0.897666	0.9006190000000001	0.8976709999999999	0.823734	1.13588	0.8942680000000001	0.8924799999999999	0.890115	0.889259	0.79205	0.872088	0.893509	0.44141800000000003	0.8901020000000001	0.8992829999999999	0.897141	0.9690979999999999	0.260702	0.261856	0.893904	0.8806450000000001	0.938399	0.8894350000000001	0.8476239999999999	0.813962	1.30736	0.889526	0.888921	0.885481	0.26858200000000004	0.8908229999999999	0.9012319999999999	0.89684	0.8946879999999999	0.45373199999999997	0.8891110000000001	0.913177	0.8855790000000001	0.8278190000000001	0.846979	0.898653	0.887875	0.822365	0.412174
ERR1413978	0.651072	1.00196	0.885882	0.8527450000000001	0.0	0.64745	0.730618	0.653994	0.6561359999999999	0.655997	0.894876	0.651401	0.652032	0.7158939999999999	0.648881	0.663215	0.653419	0.649517	0.9170360000000001	0.6537890000000001	0.655091	0.650299	0.657042	0.91976	1.32769	0.713137	0.65167	0.649363	0.9327059999999999	0.8602879999999999	1.18505	0.893157	0.652174	0.863734	0.677374	0.651991	0.873647	0.931103	0.23825	0.9373319999999999	0.652254	0.6513770000000001	0.677621	0.658374	0.741951	0.652855	0.901673	0.8679100000000001	0.65609	0.650084	0.674561	0.870663	0.943418	0.651511	0.930853	0.662195	0.6509729999999999	0.9084479999999999	0.6537890000000001	0.935277	0.651544	0.650863	0.651094	0.66646	0.653854	0.658674	0.665499	0.8624809999999999	0.656788	0.652838	0.651361	0.736995	0.651261	0.8981020000000001	0.651828	0.7440979999999999	0.652746	0.8459399999999999	0.652909	0.6532979999999999	0.659523	0.735676	0.735524	0.656361	0.652217	0.9315399999999999	0.650109	0.651602	0.654033	0.6539	0.9403790000000001	0.652518	0.262833	0.65488	0.8637090000000001	0.980569	0.649491	0.655392	0.7703720000000001	0.222084	0.651844	0.652271	0.649282	0.652497	0.9270719999999999	0.833975	0.649524	0.588615	0.907098	1.3141399999999999	0.8500790000000001	0.650281	0.649046	0.651804	0.761847	0.65147	0.655122	0.660948	0.658377	0.866957	1.1396899999999999	0.65413	0.65533	0.650405	0.653199	0.715318	0.916841	0.6526689999999999	0.8583270000000001	0.65285	0.659614	0.6604800000000001	0.9910059999999999	0.858806	0.869343	0.654061	0.912939	0.7348279999999999	0.649546	0.235323	0.85509	1.31738	0.65358	0.649486	0.653464	0.8689	0.6533760000000001	0.665079	0.655794	0.653941	0.8694559999999999	0.651246	0.9138370000000001	0.6487850000000001	0.760614	0.212914	0.665115	0.64993	0.757166	0.853734
SRR1922795	0.548325	1.02306	0.9072520000000001	0.852914	0.64745	0.0	0.6893560000000001	0.55796	0.574155	0.552606	0.8924770000000001	0.553241	0.5524	0.681086	0.552606	0.542209	0.55088	0.543808	0.929809	0.5528810000000001	0.558375	0.560027	0.555026	0.904267	1.33125	0.572228	0.568226	0.553495	0.938376	0.8407399999999999	1.18111	0.8973	0.550593	0.8654959999999999	0.6099100000000001	0.5459	0.862907	0.9129889999999999	0.642586	0.9547059999999999	0.553033	0.547259	0.597208	0.577488	0.704813	0.563413	0.9119309999999999	0.8577110000000001	0.563193	0.551416	0.5964550000000001	0.864743	0.962435	0.547528	0.944743	0.58685	0.557353	0.912537	0.5524399999999999	0.964685	0.555834	0.550327	0.556354	0.544868	0.5586760000000001	0.565779	0.57316	0.875473	0.560122	0.553701	0.551797	0.714532	0.5448529999999999	0.865526	0.550715	0.731416	0.554765	0.858505	0.553297	0.555036	0.544984	0.639401	0.6896	0.553791	0.553063	0.9587549999999999	0.542491	0.558871	0.550345	0.551194	0.936378	0.5606359999999999	0.663338	0.5656640000000001	0.870893	0.9650489999999999	0.54592	0.559028	0.74337	0.638525	0.5544560000000001	0.551582	0.5522560000000001	0.555704	0.9573299999999999	0.8379209999999999	0.552759	0.815555	0.910466	1.31781	0.851712	0.55209	0.550467	0.558735	0.7615350000000001	0.557537	0.560982	0.548058	0.562189	0.8420110000000001	1.13053	0.542346	0.565416	0.550369	0.553538	0.686248	0.9433739999999999	0.5528420000000001	0.857002	0.556143	0.565355	0.5571659999999999	0.986498	0.861735	0.872066	0.558426	0.8987219999999999	0.705494	0.5473560000000001	0.640938	0.847627	1.3223799999999999	0.558346	0.55051	0.550304	0.854883	0.558859	0.546682	0.5558489999999999	0.564422	0.850542	0.550222	0.9385950000000001	0.550295	0.747002	0.657515	0.543888	0.545269	0.74534	0.8539559999999999
ERR1414100	0.44136899999999996	0.978275	0.9161959999999999	0.935501	0.730618	0.6893560000000001	0.0	0.46133500000000005	0.432566	0.483605	0.9092129999999999	0.42708500000000005	0.45243	0.835148	0.397689	0.500638	0.429641	0.442062	0.966211	0.447428	0.49741499999999994	0.428886	0.438126	1.0225600000000001	1.33636	0.700309	0.399751	0.432274	0.961283	0.9294520000000001	1.2184	0.9358270000000001	0.46020500000000003	0.948519	0.5110600000000001	0.434755	0.991439	1.0286799999999998	0.7354470000000001	0.92724	0.44669899999999996	0.444017	0.5288729999999999	0.45488100000000004	0.193656	0.42601400000000006	0.938282	0.985232	0.45259099999999997	0.434504	0.548357	0.9912290000000001	0.9704299999999999	0.445395	0.973476	0.44820699999999997	0.391217	0.9851489999999999	0.4251	0.950053	0.45977299999999993	0.46498500000000004	0.453871	0.49689399999999995	0.446989	0.46394300000000005	0.44875699999999996	0.9059200000000001	0.44489700000000004	0.445876	0.40042300000000003	0.829074	0.45251099999999994	0.9968110000000001	0.46174399999999993	0.824421	0.45821300000000004	0.805571	0.44117	0.479682	0.512295	0.655985	0.19276400000000002	0.435699	0.441212	0.917817	0.45084399999999997	0.42795200000000005	0.434544	0.46011199999999997	0.98915	0.463754	0.799196	0.44561999999999996	0.92945	1.0587	0.443096	0.473095	0.8383940000000001	0.726638	0.45528900000000005	0.452056	0.443316	0.449622	0.9241159999999999	0.816567	0.438885	0.726906	0.964932	1.33636	0.932586	0.431113	0.44209899999999996	0.459391	0.727263	0.44358100000000006	0.459089	0.520124	0.457762	0.954809	1.1675200000000001	0.460297	0.45784300000000006	0.423335	0.43536800000000003	0.8350110000000001	0.940961	0.440468	0.956048	0.455534	0.44579799999999997	0.462542	1.08008	0.9433379999999999	0.9535100000000001	0.44296	0.9959469999999999	0.218005	0.44418199999999997	0.732938	0.956275	1.3385	0.421721	0.45862600000000003	0.459268	0.974333	0.442424	0.512421	0.42638100000000007	0.4402	0.982274	0.450299	0.9133600000000001	0.44033599999999995	0.8580190000000001	0.749225	0.497562	0.437601	0.854884	0.9528139999999999
ERR1414012	0.192306	1.0288700000000002	0.940494	0.892503	0.653994	0.55796	0.46133500000000005	0.0	0.198528	0.1988	0.943449	0.185765	0.198011	0.776628	0.21166999999999997	0.24783200000000002	0.195325	0.19106199999999998	0.966535	0.18904200000000002	0.196392	0.197783	0.19228599999999998	0.948843	1.3290600000000001	0.5472130000000001	0.20006300000000002	0.19338699999999998	0.9810620000000001	0.899012	1.19258	0.9279350000000001	0.188462	0.9022479999999999	0.275225	0.20391900000000002	0.927183	0.970144	0.645668	0.9736610000000001	0.201994	0.186028	0.24386	0.205515	0.488183	0.189209	0.93419	0.925592	0.21680300000000002	0.186573	0.255262	0.927716	0.9818180000000001	0.190689	0.971258	0.21790700000000002	0.20859	0.9498139999999999	0.23180900000000002	0.977928	0.205578	0.204698	0.187362	0.25999	0.195158	0.190174	0.231035	0.9050159999999999	0.202307	0.18721500000000002	0.22857	0.7667649999999999	0.186962	0.9445520000000001	0.183982	0.807621	0.202752	0.870064	0.20388299999999998	0.184003	0.23247199999999998	0.416296	0.47430200000000006	0.210439	0.18984600000000001	0.9596120000000001	0.188926	0.191243	0.229998	0.18250999999999998	0.977772	0.185274	0.67465	0.19191	0.8905850000000001	1.01169	0.198208	0.21312199999999998	0.795926	0.650483	0.183902	0.180972	0.19733499999999998	0.17891500000000002	0.9597969999999999	0.847678	0.192079	0.787654	0.935909	1.3267799999999998	0.8896200000000001	0.191761	0.205465	0.20664699999999997	0.8228260000000001	0.185927	0.189527	0.21681199999999998	0.192148	0.904681	1.14416	0.20789499999999997	0.19561800000000001	0.205348	0.216329	0.777335	0.9661690000000001	0.192415	0.9197379999999999	0.201014	0.19411099999999998	0.219635	1.02996	0.9003129999999999	0.907424	0.186001	0.941602	0.466028	0.21843	0.643489	0.8934469999999999	1.3291	0.20978899999999998	0.183132	0.20416199999999998	0.908517	0.202822	0.2203	0.202948	0.19151600000000002	0.9077149999999999	0.193328	0.9453389999999999	0.18895	0.819506	0.662503	0.254481	0.199216	0.8140649999999999	0.9132979999999999
ERR1414018	0.21514699999999998	1.01778	0.92874	0.893965	0.6561359999999999	0.574155	0.432566	0.198528	0.0	0.211427	0.935865	0.200049	0.21680500000000003	0.781415	0.220971	0.278096	0.20366700000000001	0.212763	0.9620709999999999	0.20796599999999998	0.208623	0.193966	0.211452	0.9536709999999999	1.32892	0.561036	0.194125	0.205182	0.974875	0.9020549999999999	1.19459	0.9232450000000001	0.209961	0.9045850000000001	0.273392	0.223517	0.933298	0.982239	0.648496	0.9663579999999999	0.212907	0.20673899999999998	0.24134099999999997	0.195891	0.457589	0.188091	0.936746	0.9318559999999999	0.21741100000000002	0.206787	0.243781	0.933039	0.972181	0.214387	0.9642860000000001	0.195521	0.20744400000000002	0.9547389999999999	0.249119	0.9662540000000001	0.20909699999999998	0.21786599999999998	0.20713499999999999	0.292611	0.20232	0.197679	0.24935700000000002	0.9025059999999999	0.208959	0.201799	0.240733	0.77044	0.20917199999999997	0.9513520000000001	0.203698	0.805036	0.21157199999999998	0.8483299999999999	0.22002800000000003	0.198685	0.26568	0.43286499999999994	0.446668	0.23026999999999997	0.21029699999999998	0.9453309999999999	0.21220300000000003	0.184955	0.235283	0.20990999999999999	0.9811290000000001	0.193426	0.684114	0.197811	0.8944030000000001	1.0160799999999999	0.223669	0.213997	0.798917	0.656591	0.20263299999999998	0.196196	0.21063800000000002	0.18884700000000001	0.945576	0.8307450000000001	0.20977600000000002	0.7619199999999999	0.9416180000000001	1.32674	0.891424	0.207617	0.21678000000000003	0.21011799999999997	0.8103090000000001	0.196931	0.202485	0.25151799999999996	0.197799	0.9110459999999999	1.14561	0.23099	0.19678199999999998	0.21989499999999998	0.228086	0.784205	0.956832	0.211977	0.9220139999999999	0.22091999999999998	0.19730899999999998	0.22419899999999998	1.0338	0.903172	0.908041	0.197115	0.9539790000000001	0.430228	0.22469299999999998	0.644373	0.9010030000000001	1.3289799999999998	0.224588	0.20493699999999998	0.211912	0.915883	0.21438200000000002	0.26227399999999995	0.218192	0.18928699999999998	0.9129889999999999	0.218714	0.93284	0.203674	0.823499	0.663482	0.284056	0.22605999999999998	0.818207	0.9153129999999999
ERR1414058	0.208116	1.04874	0.9531290000000001	0.898214	0.655997	0.552606	0.483605	0.1988	0.211427	0.0	0.9517909999999999	0.202472	0.20716199999999999	0.781339	0.22748200000000002	0.222877	0.19488699999999998	0.19708	0.973615	0.21002300000000002	0.206947	0.20083399999999998	0.205879	0.950731	1.32808	0.54809	0.228865	0.20546999999999999	0.988525	0.9023690000000001	1.1925	0.936393	0.19020499999999999	0.908277	0.28712600000000005	0.203547	0.927191	0.977341	0.646465	0.9928459999999999	0.201767	0.19556199999999999	0.263703	0.224731	0.511337	0.210468	0.9454670000000001	0.9247620000000001	0.209835	0.203546	0.24989099999999997	0.9269149999999999	0.991783	0.201904	0.982374	0.234408	0.22005500000000003	0.9589559999999999	0.23519	0.990922	0.200095	0.213968	0.20577399999999998	0.24302100000000001	0.197549	0.20923899999999998	0.241403	0.9140780000000001	0.218923	0.195729	0.232762	0.7686310000000001	0.188709	0.9442389999999999	0.190076	0.8140270000000001	0.195831	0.8888530000000001	0.21440700000000001	0.18943	0.21819499999999997	0.427781	0.49495900000000004	0.221863	0.201292	0.972002	0.193412	0.19375599999999998	0.219708	0.197724	0.989078	0.193405	0.674204	0.218518	0.897883	1.01137	0.205314	0.19106199999999998	0.797337	0.654013	0.198772	0.190268	0.20289300000000002	0.196243	0.9756040000000001	0.866568	0.204586	0.804354	0.944684	1.3260299999999998	0.895315	0.20800300000000002	0.20638299999999998	0.19819	0.83675	0.200756	0.193749	0.20287	0.200441	0.9050549999999999	1.14323	0.196737	0.199669	0.209585	0.21288400000000002	0.78108	0.978253	0.204083	0.922717	0.218042	0.201079	0.196429	1.0311	0.9071389999999999	0.9122959999999999	0.2024	0.9444299999999999	0.492633	0.209689	0.644046	0.890824	1.3285799999999999	0.23212	0.198719	0.198478	0.909169	0.218975	0.21316100000000002	0.20831	0.198571	0.9083549999999999	0.205527	0.960334	0.203324	0.822039	0.665171	0.231528	0.21185	0.818361	0.915861
