strain	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
ERR1414009	0	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	2	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	2	1	1	1	39	1	4715	3665	37	1	1	3663	5136	2	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	2	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	2	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	2	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	2	1	3660	39	1	1	1	3649	2	4046	1	2879	1815	1	1	2879	3665
ERR024924	4736	0	4791	4791	5046	4911	4765	4735	4735	4735	5639	4735	4735	5202	4735	4735	4735	4735	6087	4735	4736	4735	4735	5883	37713	4773	4735	4735	5622	5561	21444	6692	4735	4791	4737	4735	4793	92	5048	96	4736	4735	4735	4735	4765	4735	79	4796	4763	4735	4735	4794	6211	4736	6248	4735	4735	179	4735	6153	4735	4761	4735	4735	4735	4735	4766	5887	4766	4735	4735	5207	4735	5641	4735	5206	4735	5213	4762	4735	4736	4750	4765	4765	4735	7041	4735	4735	4735	4735	94	4735	5041	4735	4785	10136	4735	4736	5189	5047	4735	4735	4735	4735	5871	5211	4735	5036	81	36656	4798	4735	4735	4735	5203	4736	4735	4735	4735	5564	18910	4735	4736	4735	4735	5202	5767	4735	4795	4765	4735	4735	8357	4794	4789	4735	79	4735	4735	5048	5562	36764	4765	4736	4735	4793	4763	4735	4735	4735	4782	4736	5862	4735	5184	5045	4735	4735	5184	4796
ERR024916	3658	4791	0	26	3998	3525	3691	3657	3657	3657	4462	3657	3657	3490	3657	3657	3657	3657	5287	3657	3658	3657	3657	4649	36895	3583	3657	3657	4443	4357	20786	6014	3657	26	3659	3657	186	4777	4000	4779	3658	3657	3657	3657	3689	3657	4770	189	3687	3657	3657	187	5423	3658	5456	3657	3657	4774	3657	5331	3657	3685	3657	3657	3657	3657	3690	4651	3690	3657	3657	3495	3657	4464	3657	3494	3657	3503	3688	3657	3658	3672	3689	3689	3657	6172	3657	3657	3657	3657	4779	3657	3993	3657	92	9519	3657	3658	3477	3999	3657	3657	3657	3657	4635	3499	3657	3988	4772	35805	33	3657	3657	3657	3491	3658	3657	3657	3657	4360	18317	3657	3658	3657	3657	3490	4941	3657	188	3689	3657	3657	7466	29	24	3657	4770	3657	3657	4000	4358	35893	3689	3658	3657	28	3689	3657	3657	3657	63	3658	4626	3657	3472	3997	3657	3657	3472	189
ERR1413996	3658	4791	26	0	3998	3525	3691	3657	3657	3657	4462	3657	3657	3490	3657	3657	3657	3657	5287	3657	3658	3657	3657	4649	36895	3583	3657	3657	4443	4357	20786	6014	3657	6	3659	3657	186	4777	4000	4779	3658	3657	3657	3657	3689	3657	4770	189	3687	3657	3657	187	5423	3658	5456	3657	3657	4774	3657	5331	3657	3685	3657	3657	3657	3657	3690	4651	3690	3657	3657	3495	3657	4464	3657	3494	3657	3503	3688	3657	3658	3672	3689	3689	3657	6172	3657	3657	3657	3657	4779	3657	3993	3657	92	9519	3657	3658	3477	3999	3657	3657	3657	3657	4635	3499	3657	3988	4772	35805	13	3657	3657	3657	3491	3658	3657	3657	3657	4360	18317	3657	3658	3657	3657	3490	4941	3657	188	3689	3657	3657	7466	9	4	3657	4770	3657	3657	4000	4358	35893	3689	3658	3657	8	3689	3657	3657	3657	63	3658	4626	3657	3472	3997	3657	3657	3472	189
ERR1413978	1816	5046	3998	3998	0	2210	1849	1815	1815	1815	4433	1815	1815	3027	1815	1815	1815	1815	5313	1815	1816	1815	1815	4413	36006	1981	1815	1815	4397	4320	20065	5969	1815	3998	1817	1815	4002	5032	30	5034	1816	1815	1815	1815	1847	1815	5025	4005	1845	1815	1815	4003	5472	1816	5449	1815	1815	5029	1815	5375	1815	1843	1815	1815	1815	1815	1848	4417	1848	1815	1815	3032	1815	4435	1815	3031	1815	3040	1846	1815	1816	1830	1847	1847	1815	6245	1815	1815	1815	1815	5034	1815	23	1815	3992	9287	1815	1816	3014	29	1815	1815	1815	1815	4401	3036	1815	76	5027	34960	4005	1815	1815	1815	3028	1816	1815	1815	1815	4323	17752	1815	1816	1815	1815	3027	4971	1815	4004	1847	1815	1815	7346	4001	3996	1815	5025	1815	1815	30	4321	35046	1847	1816	1815	4000	1847	1815	1815	1815	3989	1816	4392	1815	3009	3	1815	1815	3009	4005
SRR1922795	886	4911	3525	3525	2210	0	919	885	885	885	4207	885	885	2533	885	885	885	885	5133	885	886	885	885	4227	35604	782	885	885	4179	4124	19699	5765	885	3525	887	885	3529	4897	2212	4899	886	885	885	885	917	885	4890	3532	915	885	885	3530	5310	886	5296	885	885	4894	885	5179	885	913	885	885	885	885	918	4231	918	885	885	2538	885	4209	885	2537	885	2546	916	885	886	900	917	917	885	6013	885	885	885	885	4899	885	2205	885	3519	9055	885	886	2520	2211	885	885	885	885	4215	2542	885	2200	4892	34546	3532	885	885	885	2534	886	885	885	885	4127	17397	885	886	885	885	2533	4784	885	3531	917	885	885	7177	3528	3523	885	4890	885	885	2212	4125	34655	917	886	885	3527	917	885	885	885	3516	886	4206	885	2515	2209	885	885	2515	3532
ERR1414100	41	4765	3691	3691	1849	919	0	40	40	40	4090	40	40	2930	40	40	40	40	5002	40	41	40	40	4100	35247	452	40	40	4058	3987	19456	5585	40	3691	42	40	3695	4751	1851	4753	41	40	40	40	30	40	4744	3698	28	40	40	3696	5169	41	5161	40	40	4748	40	5076	40	26	40	40	40	40	31	4104	31	40	40	2935	40	4092	40	2934	40	2943	5	40	41	55	30	30	40	5911	40	40	40	40	4753	40	1844	40	3685	8886	40	41	2917	1850	40	40	40	40	4088	2939	40	1839	4746	34203	3698	40	40	40	2931	41	40	40	40	3990	17172	40	41	40	40	2930	4660	40	3697	30	40	40	7029	3694	3689	40	4744	40	40	1851	3988	34309	30	41	40	3693	8	40	40	40	3682	41	4079	40	2912	1848	40	40	2912	3698
ERR1414012	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414018	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414058	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
